Test Cases:
66 1
77 3
46 75
33 19
61 54
66 21
23 1
39 10
24 88
63 82
8 64
32 26
10 58
92 36
70 59
57 76
69 38
36 31
18 66
13 70
86 57
16 53
71 82
3 64
85 55
50 38
73 86
51 17
34 5
55 1
8 99
81 56
6 89
70 45
81 77
84 55
75 90
14 77
57 52
28 100
67 54
60 44
99 64
52 86
85 70
31 74
35 54
61 77
49 28
89 69
18 81
50 23
11 60
93 76
51 53
22 88
56 51
79 100
73 27
37 19
76 39
78 62
10 99
55 26
97 19
87 14
21 32
47 58
2 36
71 56
1 68
57 65
62
12 9
61 56
50 41
30 11
30 41
30 2
26 54
60 3
56 38
46 55
24 11
80 14
80 18
71 96
57 41
74 49
60 33
69 87
17 100
76 49
55 77
30 18
67 9
40 14
97 68
47 60
69 75
77 1
54 48
98 64
97 11
25 78
16 82
50 4
61 45
49 74
84 60
62 7
3 78
27 98
57 52
22 79
50 5
76 43
42 59
69 72
71 69
100 60
27 6
85 59
56 78
9 96
19 80
86 56
58 12
88 17
17 10
95 69
99 66
74 45
26 33
31 33
44
53 84
37 37
68 42
9 89
62 56
76 24
76 41
98 66
63 94
53 80
82 10
89 24
91 3
30 84
32 90
26 86
61 97
2 15
48 40
86 57
93 53
9 53
67 93
69 9
83 80
46 50
20 62
76 82
6 31
56 51
35 32
12 87
31 63
9 27
74 53
93 38
3 41
4 60
91 88
80 78
20 59
97 24
96 36
2 35
77
66 92
28 70
34 54
10 25
10 70
36 90
75 11
19 53
92 100
24 67
31 16
9 58
7 62
56 26
1 18
30 63
47 40
74 80
92 25
64 45
33 85
27 88
83 60
32 1
18 59
86 27
9 68
19 10
8 84
68 46
47 49
52 24
87 56
45 23
53 37
36 86
33 44
50 45
45 30
90 8
63 97
49 91
64 5
31 90
78 4
76 72
82 22
35 19
2 56
26 74
87 77
58 44
14 66
52 83
12 60
80 66
78 60
77 55
58 98
50 43
40 81
19 69
36 46
58 6
76 6
27 58
80 5
7 14
80 21
5 11
26 56
71 32
17 77
62 67
73 64
26 82
83 32
33
51 91
28 78
76 29
41 22
77 9
23 70
58 11
74 42
82 9
67 37
96 34
74 93
59 75
22 85
81 3
68 86
15 49
57 94
17 84
75 11
88 34
72 79
35 14
12 94
2 74
48 72
80 90
99 17
43 52
1 35
86 32
22 3
6 32
92
18 85
7 52
25 95
35 35
14 38
10 79
17 57
53 31
44 38
44 24
79 80
14 73
22 3
34 81
39 87
80 34
74 32
56 74
88 50
47 2
96 57
47 81
64 49
30 86
63 56
98 76
49 80
51 45
76 6
48 31
42 65
23 91
31 79
100 30
16 54
92 69
60 81
49 72
46 64
76 91
55 21
86 43
93 37
13 2
4 2
80 5
93 34
7 10
36 76
10 71
94 25
40 41
50 34
8 72
75 100
85 98
23 17
13 34
7 57
66 3
91 95
8 1
26 37
34 80
14 8
92 98
93 29
20 98
91 36
84 54
84 75
31 100
80 91
87 17
45 34
63 45
64 89
9 71
80 61
26 32
67 91
88 78
85 80
12 55
18 8
76 50
40 20
79 29
85 97
20 83
93 70
75 36
31
87 34
58 80
48 20
35 9
42 12
29 3
76 47
41 76
68 17
47 35
15 45
60 74
14 92
49 62
23 32
19 13
91 37
63 84
85 79
32 68
39 46
95 70
64 47
55 55
70 79
93 21
56 68
73 63
22 86
18 61
64 44
18
36 36
4 78
43 76
49 44
46 96
42 45
42 71
82 6
61 60
70 90
83 87
38 26
77 33
91 23
89 76
12 26
47 23
96 82
38
73 96
95 25
60 90
3 35
11 13
73 74
92 65
31 96
4 29
44 23
28 31
83 42
33 52
11 27
46 9
83 8
80 41
84 1
38 80
20 26
7 84
81 84
45 46
35 1
15 6
66 14
81 98
43 49
82 40
16 46
74 39
10 89
14 56
51 8
12 42
1 86
3 94
90 97
99
95 44
28 80
17 2
13 37
56 71
25 91
64 58
43 35
90 51
13 73
33 46
100 21
74 9
84 23
29 71
60 1
33 54
7 40
98 68
56 36
72 94
86 76
71 24
6 26
97 49
73 6
52 18
36 73
9 69
47 7
59 68
2 97
48 26
62 49
72 57
63 87
48 61
8 33
58 83
36 73
37 41
20 77
44 34
57 76
86 89
31 11
77 99
58 30
67 36
76 80
48 69
95 28
90 11
28 78
9 3
8 6
54 83
70 35
62 28
78 34
15 72
88 40
59 21
12 44
20 91
93 22
87 7
91 33
7 45
45 72
64 31
78 47
28 26
100 6
10 76
63 55
2 78
31 12
69 37
92 79
5 52
89 45
70 88
3 4
78 14
83 61
79 20
15 90
43 10
49 4
48 95
52 39
96 92
67 32
26 49
71 79
91 2
65 67
100 63
60
79 53
67 35
2 97
61 26
57 86
32 13
20 20
45 98
90 49
86 65
84 100
5 32
49 50
54 52
23 32
29 36
61 82
71 80
76 83
91 71
6 15
48 89
29 89
21 96
44 13
27 87
37 13
94 72
27 22
71 42
96 37
85 86
82 54
55 99
37 53
49 83
92 20
1 32
93 40
63 22
2 43
36 95
69 10
12 61
18 54
14 19
52 12
44 3
77 61
3 94
95 79
84 41
35 34
96 26
15 78
85 29
62 1
25 41
18 87
58 53
27
59 95
100 74
37 54
33 44
63 54
35 4
81 87
69 87
88 92
15 87
92 41
80 89
49 33
71 27
59 77
80 88
58 21
60 90
12 38
27 50
92 9
85 38
2 19
3 68
52 6
40 13
61 23
52
16 20
84 63
59 32
84 44
71 1
52 4
48 25
29 18
23 15
23 65
84 8
20 24
62 32
13 4
45 80
100 31
38 14
99 88
28 92
72 3
74 12
78 63
76 47
98 81
27 69
77 62
10 77
65 55
85 69
78 68
55 64
15 51
82 6
86 79
93 16
72 53
31 21
72 97
50 7
90 4
23 94
7 88
35 82
39 1
85 75
89 23
27 54
49 55
46 70
44 95
66 32
21 100
73
90 73
62 30
49 92
19 37
2 8
20 29
74 69
76 78
34 61
21 29
2 94
64 21
84 62
60 71
23 35
2 63
52 3
75 60
41 97
39 30
37 32
57 75
99 88
38 77
62 63
78 77
52 13
45 98
97 55
22 16
23 97
22 67
79 10
47 29
35 40
19 94
18 88
99 69
15 35
95 28
14 22
35 4
99 11
74 39
61 60
94 57
54 35
37 44
7 3
51 43
34 30
91 86
62 44
38 95
8 59
25 40
15 59
95 88
61 31
44 63
28 73
83 2
25 19
2 22
16 78
53 91
68 15
68 60
94 87
95 82
40 47
58 26
94 13
58
94 4
62 53
30 57
45 90
3 28
54 49
29 81
22 51
46 11
50 73
42 71
34 85
76 3
96 66
60 44
85 49
3 17
96 48
92 9
20 42
64 79
27 22
21 20
48 69
58 64
68 6
82 24
56 84
38 3
74 31
20 4
99 23
73 8
100 18
69 81
31 67
74 45
24 78
58 19
55 89
33 10
36 16
38 84
82 65
12 66
24 47
9 41
2 64
50 73
46 33
50 38
70 13
63 12
9 84
28 31
72 29
86 23
35 26
25
18 32
59 91
42 99
90 34
62 30
81 57
91 87
72 85
87 84
65 53
22 55
53 88
83 14
60 84
25 48
4 63
67 81
62 49
61 54
42 69
12 49
81 37
31 75
27 23
99 46
94
6 100
6 39
92 69
90 55
13 94
4 31
99 3
97 63
12 12
90 33
49 3
8 96
80 13
41 35
49 49
20 72
40 94
13 80
93 87
64 9
100 28
67 65
87 74
42 13
50 66
79 70
46 51
86 23
93 45
54 43
77 18
88 32
49 35
5 88
12 70
23 50
29 75
44 13
70 91
25 56
21 85
100 6
92 7
48 84
96 87
94 43
88 90
33 97
83 45
45 85
31 58
48 31
60 41
52 52
32 40
57 1
28 47
73 4
91 96
21 66
61 18
44 72
63 81
53 23
69 94
78 45
68 91
74 34
5 16
10 12
17 7
31 15
23 17
27 72
7 11
19 46
72 8
28 81
81 83
41 58
19 43
15 12
74 44
62 38
60 42
83 28
38 49
38 94
10 15
98 30
40 10
47 34
33 71
15 94
49
51 12
15 56
36 13
80 28
67 31
12 33
49 70
16 69
62 88
31 4
13 25
43 55
93 36
97 60
52 77
52 49
82 75
97 26
4 36
51 80
74 22
58 16
17 20
73 23
6 13
44 7
3 29
54 82
98 38
35 54
39 61
2 20
8 57
73 52
69 19
8 73
86 66
3 18
20 13
2 41
48 11
16 2
28 29
83 14
59 99
37 29
47 88
8 38
29 15
70
75 65
38 12
55 27
20 71
93 45
76 88
29 93
59 20
18 21
58 63
16 86
52 26
82 42
21 6
75 85
92 44
49 53
47 66
2 21
32 11
14 99
73 57
60 45
35 30
37 66
88 5
46 89
92 83
62 74
29 85
71 47
93 47
47 9
3 86
90 63
5 38
70 79
45 19
75 48
3 73
20 35
30 97
30 49
33 82
63 16
87 36
98 61
10 24
53 65
5 68
95 54
68 56
63 33
4 90
9 46
83 13
79 52
5 72
26 17
83 65
63 92
80 36
92 41
26 18
39 4
27 49
25 30
40 38
79 29
73 100
33
55 22
71 75
24 4
9 60
79 71
96 56
13 32
36 57
36 82
29 58
64 81
16 52
95 62
43 52
86 77
55 49
94 88
30 82
52 95
96 19
25 21
1 84
13 42
64 93
34 9
22 72
67 56
62 17
57 1
31 100
50 88
10 92
16 10
66
62 52
88 70
59 16
76 38
38 6
83 96
37 90
64 56
3 58
48 93
90 27
50 23
22 43
13 62
62 49
4 20
85 28
97 42
67 48
73 90
58 65
98 53
51 98
26 15
77 33
56 95
40 23
21 66
66 50
68 18
22 17
77 91
9 100
10 36
29 53
71 2
68 46
44 98
37 88
64 84
80 7
93 100
72 91
21 68
28 35
78 98
74 87
98 43
72 47
92 20
64 34
23 81
71 93
12 7
57 25
74 70
71 86
6 46
84 56
11 1
56 53
75 2
81 93
86 33
96 31
79 43
24
65 1
95 89
69 7
69 9
76 71
77 29
56 88
87 46
6 78
98 10
10 30
71 4
5 22
12 84
66 50
28 57
20 4
8 25
92 69
47 19
51 100
74 84
26 70
87 56
36
67 18
2 100
88 28
5 96
77 60
20 89
21 48
80 76
88 9
32 96
13 17
85 57
92 52
79 60
57 88
80 76
77 50
56 68
36 6
77 78
80 18
72 56
54 13
39 85
66 85
40 38
32 72
98 69
4 67
70 5
29 44
13 60
1 77
16 14
67 80
48 94
15
88 24
74 47
54 15
62 10
85 2
61 53
7 17
72 15
3 33
31 5
54 87
89 54
43 6
57 17
6 75
66
25 37
40 40
40 4
21 97
11 47
82 95
17 2
36 50
66 5
92 92
45 27
30 71
77 56
99 3
25 52
16 8
75 54
36 67
14 49
99 48
22 45
61 86
35 13
74 90
48 80
19 61
19 18
34 81
66 49
49 78
75 31
60 45
56 29
76 89
24 80
62 40
86 43
69 40
92 41
91 18
50 61
3 2
100 27
27 33
8 85
30 91
57 30
64 37
17 9
4 94
99 37
19 41
36 67
20 75
15 97
39 92
48 78
78 27
39 30
1 9
48 20
92 10
32 85
15 12
61 38
84 24
43
37 45
14 28
71 72
67 37
74 7
77 41
89 65
71 58
20 48
26 21
75 73
19 7
77 64
69 53
21 57
6 31
75 11
33 9
7 71
78 2
38 45
73 54
46 32
20 21
60 88
40 56
61 23
22 24
60 65
42 76
57 17
19 80
23 27
68 52
49 76
22 21
4 74
52 34
96 64
16 65
31 81
11 32
22 76
42
3 41
37 37
75 74
6 64
49 65
28 32
84 71
58 33
19 29
10 18
22 47
59 84
70 55
12 98
26 58
15 60
37 97
28 95
18 29
46 61
3 66
86 37
57 40
79 33
91 83
70 82
45 3
67 72
19 35
67 34
2 70
4 36
57 54
53 28
96 5
79 81
82 97
5 31
17 53
42 27
74 13
68 89
92
28 83
43 73
84 67
19 47
50 91
90 41
83 30
83 58
14 59
54 65
79 85
1 30
65 3
10 79
79 54
55 39
83 54
55 99
92 97
57 10
16 4
57 66
33 70
10 43
97 56
90 4
75 62
37 52
60 66
28 91
86 70
68 21
88 10
10 38
30 40
24 58
86 23
63 90
95 54
31 80
89 25
22 96
93 68
97 68
19 83
15 2
81 66
79 30
25 94
1 37
10 11
28 52
71 40
14 73
73 24
35 25
18 66
2 77
53 35
10 14
48 22
24 11
92 84
18 16
40 66
40 85
92 92
84 43
7 67
43 87
19 93
50 21
45 99
70 86
20 95
40 89
85 35
27 58
23 34
11 16
36 2
26 46
81 98
73 8
63 60
30 75
58 37
39 4
88 88
50 8
37 44
22 78
94
54 84
24 91
59 23
97 14
26 45
87 25
9 51
10 66
95 79
85 97
65 68
99 94
17 85
66 57
11 62
60 66
96 75
97 24
67 22
13 37
78 67
88 82
100 74
7 5
61 77
46 52
15 39
90 40
50 76
25 46
58 34
36 21
91 95
73 28
98 12
40 25
14 17
66 58
85 34
12 98
64 69
22 20
28 61
16 96
67 39
57 82
11 15
97 7
85 33
86 53
56 68
83 98
38 39
13 36
7 58
95 91
58 48
52 72
77 6
10 93
64 14
5 21
96 85
28 69
40 93
47 30
49 68
2 37
38 65
29 45
6 16
52 92
13 63
17 60
33 90
91 91
86 57
57 93
39 63
68 78
2 99
6 31
45 90
12 13
83 78
85 87
59 6
2 35
15 49
36 81
31 24
8 47
27 43
39 80
63
3 83
98 29
31 20
41 80
19 54
62 23
16 29
16 36
68 86
50 98
61 6
74 41
98 61
76 28
5 52
69 23
59 90
26 99
84 56
91 58
42 27
17 28
1 14
60 78
44 40
97 80
38 94
27 30
62 45
22 50
59 71
29 9
60 71
80 3
11 50
90 44
49 20
1 44
10 72
26 57
13 19
94 92
9 9
69 98
45 44
26 63
9 10
7 8
2 62
83 12
17 52
56 72
66 12
34 73
75 34
98 74
54 39
23 82
22 3
42 45
39 32
87 61
11 93
91
72 17
22 76
52 55
11 19
40 22
40 65
25 43
12 72
67 20
37 59
50 9
31 69
2 43
42 1
47 40
49 17
21 40
68 1
26 72
26 59
46 17
64 37
34 52
24 57
70 31
77 7
72 58
25 11
100 22
29 25
40 94
82 34
71 81
76 25
22 31
63 58
52 19
3 86
75 56
92 72
81 11
78 34
44 8
91 46
100 17
7 10
46 87
3 65
6 10
77 45
8 15
62 18
88 68
65 13
12 32
48 81
70 87
85 64
10 52
7 61
63 66
80 4
84 56
96 83
74 8
91 83
72 93
8 83
48 71
16 45
84 8
97 60
100 57
97 53
98 38
25 56
85 46
9 47
86 21
23 31
91 59
67 30
47 21
25 7
91 42
13 70
21 67
87 62
34 51
75 86
80 30
74
76 58
4 46
76 36
25 81
73 70
10 77
95 47
43 8
88 45
27 3
4 94
43 1
87 70
10 99
38 84
16 53
8 75
90 34
22 66
29 45
9 21
87 44
24 5
86 30
73 97
78 56
28 64
90 35
77 35
70 76
85 47
99 39
89 58
22 37
10 92
50 61
92 26
44 57
84 38
68 2
19 9
49 68
45 65
85 90
86 57
42 70
60 91
73 80
25 97
57 49
95 42
54 85
81 91
78 24
7 40
23 45
57 100
99 92
60 54
88 10
49 96
72 34
26 21
16 99
78 14
55 47
57 64
93 46
80 62
85 76
22 56
72 83
67 26
87 4
99
67 79
7 75
44 74
48 39
26 25
25 80
31 44
74 40
19 13
80 74
45 65
37 16
83 23
51 41
8 78
3 56
92 25
39 54
25 69
79 52
5 19
29 77
34 55
88 17
49 37
62 90
82 89
88 69
64 40
21 80
64 72
81 47
62 16
37 53
96 77
88 44
77 4
24 95
41 26
77 87
16 80
45 36
44 98
69 30
22 34
46 63
79 5
20 54
95 22
39 85
11 58
59 91
76 70
93 69
71 59
18 10
26 75
52 28
70 100
39 34
67 74
78 83
5 84
58 51
57 72
22 72
27 71
63 62
85 27
97 12
8 63
79 43
37 42
84 95
98 11
87 49
90 48
80 74
91 19
91 78
62 78
37 17
29 18
32 56
100 73
36 51
32 49
83 37
55 88
77 81
31 11
20 71
95 64
25 86
83 56
40 61
76 39
12 64
3 29
55
65 36
24 49
54 59
67 15
4 2
7 46
100 37
20 7
57 6
46 21
11 67
76 80
30 10
77 49
74 35
77 80
9 23
18 85
69 69
31 10
17 49
41 11
86 16
93 71
90 91
77 55
19 85
67 17
73 59
62 86
82 39
1 74
5 72
45 31
25 42
31 69
11 15
27 33
46 4
91 29
19 38
55 83
60 51
16 4
4 37
87 71
68 69
47 66
28 12
15 52
25 22
89 43
50 38
81 48
32 98
74
53 51
15 66
6 25
76 49
95 33
35 32
61 25
36 61
39 19
49 22
15 86
53 97
77 90
65 43
31 45
60 42
38 86
6 19
64 23
35 28
94 35
61 60
51 87
55 93
2 77
12 51
65 34
79 89
75 20
32 37
31 92
91 95
73 56
43 70
4 33
6 18
64 75
75 25
79 9
72 29
55 62
5 37
53 8
41 96
60 87
87 42
39 62
83 4
33 22
43 98
15 19
28 19
62 79
49 97
18 44
34 25
85 30
21 70
37 25
45 53
85 32
62 55
20 85
1 46
55 35
36 5
24 86
77 3
32 42
71 1
58 2
49 75
40 2
30 24
82
15 33
1 53
26 69
96 10
7 3
97 98
11 35
41 68
17 57
77 9
45 82
81 55
30 29
74 93
21 21
60 62
49 75
16 97
1 73
1 56
16 15
37 11
27 37
43 22
44 72
86 53
2 32
69 41
89 14
53 36
27 63
62 89
79 9
42 40
17 16
94 10
78 27
18 34
86 52
39 71
71 62
10 50
52 26
80 22
85 80
17 56
25 42
98 18
1 73
94 59
63 59
86 34
39 33
59 30
88 6
36 7
51 27
65 69
99 48
88 81
69 99
2 62
42 60
19 78
24 1
93 57
22 47
74 93
22 20
17 55
62 10
4 25
15 4
7 81
40 67
79 36
2 12
51 54
70 100
71 69
68 28
60 96
70
34 74
30 28
44 21
55 95
87 89
34 3
59 56
35 66
29 34
52 26
21 42
55 98
94 44
34 59
54 16
57 48
66 58
91 68
25 96
63 39
11 64
45 4
57 39
50 97
36 13
60 92
63 89
81 4
89 55
57 43
79 28
18 23
93 14
68 34
82 13
10 39
73 53
79 45
67 21
92 50
99 99
72 28
75 77
37 67
19 68
27 71
99 23
43 23
93 17
90 63
1 71
10 33
9 100
63 70
83 98
57 32
81 30
6 11
59 26
19 88
27 6
44 44
78 36
87 73
49 33
61 97
34 77
39 92
7 32
66 68
3
42 62
47 64
28 52
92
13 60
46 69
9 7
79 69
48 4
31 24
33 76
24 67
63 40
94 77
3 3
64 70
21 57
83 64
39 34
6 35
72 75
95 1
77 33
77 2
33 35
47 88
28 47
31 6
37 72
99 46
17 47
36 52
67 18
51 73
50 44
9 17
99 98
1 73
56 61
25 7
97 73
94 41
72 2
44 96
36 89
65 86
13 53
42 71
32 70
91 65
57 73
40 25
60 30
57 3
20 91
16 65
64 30
24 20
12 84
92 64
8 75
64 77
12 64
80 58
44 61
50 57
100 59
53 55
82 75
43 1
94 42
86 95
27 21
14 88
48 86
18 46
66 49
58 28
8 10
51 25
59 11
65 27
35 52
5 19
29 5
34 7
18 56
74 97
76 36
64 6
28 93
68 91
52 72
96 42
18 5
70 61
100
72 32
14 2
29 2
6 61
64 90
55 49
87 96
20 69
61 29
57 49
35 30
62 12
72 89
52 39
87 55
68 57
35 2
86 89
86 16
79 38
63 37
75 89
16 10
83 92
89 26
93 89
68 1
95 88
77 35
48 81
42 66
24 54
30 19
40 100
35 31
87 84
51 48
91 92
75 45
90 67
83 90
90 77
34 17
7 54
23 90
88 6
10 36
53 41
51 16
67 20
75 1
81 91
48 30
53 60
48 72
86 48
9 54
53 89
92 53
61 84
45 71
87 92
57 41
58 39
67 85
52 51
64 93
65 15
42 72
43 47
7 68
30 53
1 34
81 54
57 62
29 20
85 82
22 97
94 28
51 32
13 73
73 11
40 9
15 12
25 93
69 84
7 20
54 33
64 9
2 10
94 99
96 29
85 82
100 96
56 86
56 72
31 53
76 30
96 62
56 39
57
31 33
19 29
86 43
40 6
12 73
83 91
65 57
19 26
28 53
45 64
78 78
76 27
89 29
26 80
3 91
78 37
86 1
19 1
66 87
86 39
2 9
11 19
31 52
58 55
59 10
52 58
9 96
22 19
64 30
61 55
92 96
51 66
47 64
98 43
1 89
23 11
59 58
84 8
46 69
14 62
12 62
37 97
54 38
28 85
58 5
17 11
63 100
76 48
26 11
83 54
39 98
95 37
93 93
73 68
94 69
55 65
11 93
4
31 66
73 72
45 72
9 53
18
90 2
3 23
58 57
22 28
67 40
50 6
30 81
30 64
38 95
49 25
71 83
73 58
4 84
100 57
98 59
49 37
53 18
14 2
72
46 7
7 82
86 64
42 58
54 23
84 79
68 92
38 28
73 12
31 34
63 23
43 19
30 64
44 9
73 59
67 51
14 15
20 88
20 49
5 90
100 71
32 60
50 84
100 83
98 5
90 93
51 16
1 40
94 72
6 53
38 49
64 72
98 4
83 59
67 81
91 94
76 40
100 30
19 22
83 88
91 52
27 99
95 25
93 92
20 100
9 91
93 100
50 99
57 15
32 82
34 69
99 29
61 13
31 12
63 32
54 86
42 1
54 72
59 21
88 64
34 21
23 96
34 56
45 55
15 72
22 15
6 19
35 43
64 23
26 39
12 11
90 46
37
85 70
7 79
12 57
68 94
89 5
54 30
93 44
53 89
80 30
55 41
73 1
46 88
12 69
15 44
20 35
95 28
82 28
73 76
38 42
71 52
77 35
93 32
55 41
32 58
25 17
9 49
33 42
99 33
45 96
83 83
49 37
14 21
22 32
14 77
3 85
33 51
37 9
9
1 18
70 20
62 13
97 58
13 5
69 61
91 34
99 99
27 92
12
43 90
47 74
45 23
11 35
39 35
5 78
8 76
90 64
35 6
94 38
21 98
59 32
74
19 40
21 89
54 4
47 81
67 87
66 58
65 30
76 29
4 2
80 5
73 75
31 87
49 38
98 95
75 97
81 42
32 37
59 18
56 8
100 49
78 17
3 87
67 65
92 34
23 58
37 22
88 49
11 8
19 28
47 47
64 54
73 26
6 50
97 97
31 62
29 58
13 92
7 33
5 46
42 79
83 91
94 20
62 81
15 91
69 27
14 86
98 30
64 10
18 56
39 40
93 49
99 45
91 90
12 47
96 42
84 39
72 99
79 66
46 73
61 15
46 21
47 64
16 89
18 1
31 74
41 3
33 25
73 69
21 98
74 46
7 50
16 55
3 64
75 4
36
30 95
54 58
5 46
36 74
31 63
100 9
11 78
15 20
74 25
15 78
88 7
25 78
68 35
51 87
81 88
52 41
53 74
1 78
91 31
66 100
52 34
26 77
21 80
48 1
48 89
22 30
80 74
54 66
94 45
14 60
29 36
100 12
9 21
46 4
75 9
96 7
48
68 96
17 7
29 45
32 95
79 91
5 10
22 5
66 86
49 85
90 34
64 12
49 29
98 97
62 1
5 67
82 47
73 45
12 21
62 58
85 31
69 10
96 98
88 63
58 10
93 63
70 43
100 61
25 79
99 90
44 61
67 70
90 77
93 34
35 31
67 49
41 73
43 58
22 44
64 84
63 89
19 5
55 44
59 58
95 90
62 48
29 32
27 95
9 30
40
51 88
53 51
79 27
31 87
8 64
97 58
99 79
83 76
58 62
13 11
93 91
57 85
87 97
36 5
78 29
99 97
35 70
19 43
59 79
50 19
83 29
23 97
13 53
84 48
27 70
74 42
23 21
78 44
48 88
14 4
60 82
6 17
55 74
45 92
67 46
79 1
40 89
3 99
69 6
48 91
39
51 99
61 18
42 44
81 95
35 23
86 57
47 77
57 34
18 27
32 27
23 92
23 50
8 66
98 56
8 31
28 47
73 77
96 18
53 15
74 47
1 29
61 92
80 30
74 85
21 77
83 100
82 31
85 82
79 58
83 98
34 21
52 95
33 42
27 74
99 19
41 17
10 58
94 94
17 23
99
15 88
23 55
22 72
6 53
91 25
41 62
30 45
6 96
82 22
83 21
43 35
45 64
72 47
8 37
34 2
6 31
85 29
10 39
4 88
23 66
59 26
57 31
92 39
38 26
33 57
100 68
53 93
15 36
5 27
33 93
25 28
1 69
15 7
64 50
63 70
21 95
23 94
68 1
33 66
1 10
63 20
10 70
43 21
86 44
35 22
32 55
50 31
23 86
48 50
91 21
22 35
40 85
13 70
45 9
9 50
47 90
77 53
79 92
57 76
46 86
67 5
20 100
2 57
24 58
84 83
17 72
14 14
15 48
81 86
80 75
83 26
25 8
70 92
57 10
49 57
16 92
1 70
63 58
17 64
52 29
84 21
48 42
46 79
84 100
70 4
44 39
24 10
17 45
31 67
75 59
8 80
46 63
56 48
8 45
98 91
23 47
28 44
38 93
63 50
50
60 81
14 95
29 43
26 5
81 4
8 8
25 73
34 90
71 80
88 51
35 30
51 49
27 55
25 93
35 53
24 77
86 38
67 36
92 93
47 99
72 88
66 90
46 81
90 62
56 43
76 4
14 64
70 10
58 30
66 64
69 43
76 69
100 56
44 51
26 66
51 81
70 44
58 96
15 15
28 48
94 70
87 27
60 33
55 50
64 73
98 55
79 70
59 55
